id,objectid,shape,cod_pais,pais,cod_depto,departamento,departamen_1,municipio,municipi_1,codigo,orig_fid,point_x,point_y
329,329,Point,GT,Guatemala,GT14,Quiché,Quiche,Uspantán,Uspantan,1415,329,-90.806361,15.283859
330,330,Point,GT,Guatemala,GT19,Zacapa,Zacapa,Usumatlán,Usumatlan,1906,330,-89.807843,14.980183
331,331,Point,GT,Guatemala,GT01,Guatemala,Guatemala,Villa Canales,Villa Canales,116,331,-90.536939,14.344442
332,332,Point,GT,Guatemala,GT01,Guatemala,Guatemala,Villa Nueva,Villa Nueva,115,332,-90.60643,14.540941
333,333,Point,GT,Guatemala,GT04,Chimaltenango,Chimaltenango,Yepocapa,Yepocapa,412,333,-90.985347,14.463832
334,334,Point,GT,Guatemala,GT22,Jutiapa,Jutiapa,Yupiltepeque,Yupiltepeque,2206,334,-89.803946,14.199785
335,335,Point,GT,Guatemala,GT19,Zacapa,Zacapa,Zacapa,Zacapa,1901,335,-89.461167,14.977377
336,336,Point,GT,Guatemala,GT14,Quiché,Quiche,Zacualpa,Zacualpa,1404,336,-90.885163,15.093312
337,337,Point,GT,Guatemala,GT22,Jutiapa,Jutiapa,Zapotitlán,Zapotitlan,2210,337,-89.821314,14.116036
338,338,Point,GT,Guatemala,GT04,Chimaltenango,Chimaltenango,Zaragoza,Zaragoza,415,338,-90.894392,14.662468
339,339,Point,GT,Guatemala,GT09,Quetzaltenango,Quetzaltenango,Zunil,Zunil,916,339,-91.49612,14.745039
340,340,Point,GT,Guatemala,GT10,Suchitepéquez,Suchitepequez,Zunilito,Zunilito,1018,340,-91.498645,14.631176
